hoek , punt
winstoogmerk , doel
verplaatsen , inbeelden
bijstandsmoeder , mam
senebladeren , struik
halfedelsteen , steen
smelten , ontdooien
uilskuiken , uil
Toupe , haarstukje
beeldenstorm , ketterij
katapult , wapen
button , broche
achtergrondinformatie , wetenschap
gelijkheid , analogie
gids , handboek
jojo , ding
weghelft , baan
verzending , vertrek
atoomproef , onderzoeking
vlak , gedeelte
einde , dag
cultuurgrond , landje
vissen , pogen
laagte , plaats
koorzanger , zangeres
step-in , onderkledingstuk
lamme , gehandicapte
luizenstreek , poets
dierenhandel , handelsverkeer
tekenen , rapporteren
visschotel , ding
vooroverlijden , overlijden
heisa , bedrijvigheid
leven , passeren
fragment , portie
spruit , verwant
parool , gezegde
windstreep , windveer
meelbloem , levensmiddelen
uitzondering , notificatie
hok , ding
voorbijschieten , schieten
aanwezig zijn , vertoeven
claxon , instrument
standbeeld , standbeeld
discrimineren , onderscheiden
vergelen , verkleuren
perpetuum mobile , apparaat
nemen , voortbewegen
achterlijke , slachtoffer
cassetteband , gegevensdrager
barometer , weerglas
microfoon , apparaat
autowrak , vervoer
spore , cel
oogstlied , collecte
grootheidswaanzinnig , egotripper
poule , spel
oppikken , voortbewegen
absorptievermogen , fysische eigenschappen
fundamentalisme , strengheid
vleesmolen , molentje
rondkijken , kijken
nar , sufferd
NIPO , instelling
protestbeweging , sociale beweging
tijgen , verplaatsen
steunen , assisteren
gal , extrusie
balk , mouwstreep
arbeidstherapie , behandeling
rangorde , systeem
muiterij , revolte
afwinden , rollen
inkijken , lezen
Falklandeilanden , enclave
dispensatie , vrijkoping
aanpakken , bewegen
ontspannen , leiden
decoupeerzaag , zaag
betoverend , schoonheid
morning-afterpil , zuigtablet
Reynolds , kunstschilder
tipgever , raadsvrouw
pedologie , wetenschap
tachtigste , rang
waterzuiveringsstation , werkplaats
koperbeslag , compositie
omstuwen , samendringen
fysicus , wetenschapper
rupsendoder , gedierte
stranden , overspringen
maffialeider , meesteres
poeha , bedrijvigheid
kalfsvel , slaginstrument
symbolisme , zin
binnenhaven , zeehaven
ministerspost , betrekking
rondboog , boog
plaats , positie
barricaderen , dichtdoen
akkerbouwer , landbouwer
openkrabben , bewerken
parkeerplaats , zitplaats
wippen , spelen
zicht , onderkenning
lamlendigheid , dwaasheid
inclinatie , invalshoek
wankelen , wantrouwen
ununtrium , chemisch element
dwergster , organisme
symfonieorkest , orkest
plenzen , zakken
vallicht , venster
afstompen , neerhalen
dakpan , blad
notenleer , oefening
klikken , aangeven
ziekbed , bedstede
deel , ding
orchidee , bloem
overwinteraar , ingezetene
isolerend materiaal , bouwmateriaal
umlaut , interpunctieteken
bijrijder , vrachtwagenchauffeur
relevatie , bevrijding
verjaardagsfeest , party
diersoort , soort
Hun , Duitser
kleurstof , materiaal
gebitsbeschermer , sportuitrusting
kung fu , gevechtssport
aminozuur , organische verbinding
dominicaan , broeder
schaats , schaats
toestaan , met rust laten
noordelijke halfrond , hemisfeer
zaadlozing , riolering
merrieveulen , zij
poliovirus , computervirus
spanningzoeker , vragensteller
hyperplasie , dysplasie
pakgoed , last
inlijsten , zetten
spleen , triestheid
aak , schip
bruidsnacht , nacht
leveren , ontwikkelen
deelverzameling , verzameling
vergiftigingsverschijnsel , symptoom
egelantier , organisme
nirvana , sereniteit
oliespuit , blik
beeldhouwwerk , versiering
Berkshire , gewest
pioniersgeest , attitude
brabbelen , aantonen
stemvork , gereedschap
impressionist , kunstenaar
exponentieel , afbeelding
landsheer , monarch
vijgenblad , gebladerte
Dominicaan , onderdaan
klipvis , kabeljauw
hechting , behandeling
aard , hoedanigheid
beraad , gedachte
laagland , laagte
buizerd , havik
monnikskap , monnikskap
gijzelhouder , vogelvrije
laminectomie , ablatie
pokerface , gelaatsuitdrukking
poedel , joekel
necrologie , lijst
lostrekken , trekken
staken , er achter komen
zegetocht , winst
j , taaluiting
steekwond , verwonding
decimeter , hoedanigheid
muziekgeschiedenis , wetenschap
bijstandsniveau , level
helpen , voeden
plaats , punt
behelpen , toepassen
telomeer , einde
vazalstaat , zijtak
rieken , verspreiden
steenkoolindustrie , industrie
nevel , aërosol
bloemist , middenstander
wenden , vragen
patroon , versiering
paradepaard , ros
hamsteren , omwisselen
Mariakapel , gedeelte
sportverslaggever , nieuwsgaarder
traanolie , viswater
Olympus , berg
remolie , vloeistof
uitzending , show
bekrachtigen , verklaren
bijenkorf , nest
knoedel , bundel
jammeren , uiten
palm , boom
watteren , opvullen
vishaak , haak
mechanisme , werking
zerk , steen
claxonneren , verwittigen
krijsen , produceren
eiderdons , poederdons
germanist , linguïst
lessenaar , basement
taxameter , teller
manipulatie , list
sleepvaart , goederenvervoer
Peshawar , moederstad
televisiemaker , schepper
gelukkige , figuur
blaasbalg , apparaat
inleiding , voordracht
vreemdheid , hoedanigheid
anoxie , hypoxie
zuidpoolcirkel , kring
rollen , verplaatsen
ricinusolie , purgans
afstompen , veranderen
tafelronde , tafel
gordel , riem
secretariaat , administratie
aanzien , voorrecht
jaarwisseling , periode
lavet , teil
ratelen , uitklinken
succesnummer , lied
kartonnen , karton
teken , aanwijzing
pand , duiten
Draco , wetgever
kandidaat , figuur
kontneuken , copuleren
reliek , nalatenschap
maagstreek , streek
Montréal , moederstad
cholecystitis , ontsteking
pennenzak , doos
anti-transpirant , toiletartikelen
flapuit , sonde
teruggave , verplaatsing
uitwerpen , overspelen
aanboren , drillen
jerrycan , reservoir
hakenkruis , embleem
broodmes , mes
verminderen , vertroosten
nekhaar , woede
kruisraket , A-bom
inademing , pauze
gymschoen , sportschoen
opvrolijken , toejuichen
debat , meeting
bovendruk , belasting
Luanda , havenstad
Berlage , vormgever
anjelier , bloem
vijandin , tegenpartij
witte ruis , gerucht
Volgograd , moederstad
boterbloem , kruid
tijdschrift , product
Celsius , astronoom
drukwerk , groep
mestcel , somatische cel
trein , stel
glippen , neervallen
transparant , prent
variatie , versie
kannibalisme , levensstijl
actinide , groep
buldog , werkhond
rekruteren , schrijven
soldij , gage
trend , neiging
tackle , aanval
Krimoorlog , oorlogvoering
integraalhelm , bromfietshelm
pisbuisontsteking , ontsteking
helpen , steriliseren
reïteratie , herhaling
systole , hartslag
informatie , wetenschap
bezaan , zeildoek
wereldstad , moederstad
ballen , vormen
hobby , vermaak
schadebedrag , geldsom
spook , ziel
bacil , bacterie
Jericho , buurtschap
magnetisatie , kwantiteit
afweerreactie , reactie
uitvaagsel , gepeupel
Spartaan , Helleen
tijdstip , macht
gymnastiekpakje , mantel
sportuitslagen , uitslag
intendant , mandataris
magazijn , berghok
telex , wegrestaurant
liquideren , eindigen
allergoloog , pil
bijbal , gedeelte
uitpersen , persen
bedriegen , beïnvloeden
chemicaliën , verbinding
sextet , muziekgroep
gilde , vereniging
maniak , freak
organiseren , verenigen
sluitspier , spier
inhalen , werken
slaag , straf
surveillance , politieonderzoek
kortademigheid , dyspneu
opnemen , reageren
berlijns-zilver , kleurtje
aanbrengen , bod
lichtkegel , stralenbundel
grondbezitter , grondbezitter
lexeem , taal
hospitant , leerling
nonius , sonde
fabrikant , figuur
bewonderen , ophebben
opstreek , boog
hoger onderwijs , onderricht
lulverhaal , kroniek
moerasschildpad , schildpad
eten , stof
dansorkest , muziekgroep
Daumier , lithograaf
VWO , constructie
roekoeën , produceren
grondbeginsel , wet
draaischijf , gedeelte
lichting , groep
hardloper , sporter
Indiaan , ingezetene
krentenkakker , figuur
touwtrekken , spelen
aankleden , voorzien
berusten , meegaan
bergmeertje , meer
slag , constructie
giraffehals , flessenhals
groentetuin , gebied
stomheid , ongemak
feeks , jongeling
drankgebruik , intakegesprek
spijsbrok , voer
peppil , middel
afbrokkelen , desintegreren
overacting , performance
ectoplasma , uitstraling
Hindemith , toonzetter
crimen laesae majestatis , wetsdelict
rundvlees , vlees
LSD , hallucinogeen
bedelaarsgekerm , samenspraak
transcriptie , schrijftaal
aula , zaal
gastgezin , familie
huismeester , superintendent
muurkalk , mixture
valhek , toegangshek
luistervinken , horen
poetsen , zuiveren
lak , verbinding
verkoper van schrijfbehoeften , koopman
schijn , licht
legerwoordvoerder , voorlichter
oligarchie , bestuursvorm
onderhemd , onderkledingstuk
kring , ellips
oorschelp , bot
stortregenen , zakken
moreel wangedrag , gevaar
mythologie , literatuur
partijlid , lid
veranderen , leiden
toxiciteit , macht
consideratie , attitude
fineer , hout
motorrijder , reiziger
heldencultus , achting
watten , vulstof
romantiek , atmosfeer
leem , landen
BLT , boterham
servituut , alleenrecht
paleis , huisje
spotvogel , vogeltje
bader , figuur
wensdroom , idee
echtgenote van radja , aristocraat
uitslijten , wegnemen
renoveren , hernieuwen
zoomsteek , borduurwerk
mondigheid , vrijheid
boordband , sieraad
waar gehakt wordt vallen spaanders , stelsel
theeglas , glas
uitrollen , zetten
afgelegen , apparaat
pediater , specialist
ja man , leerling
grond , element
ouderavond , samenzijn
gierkar , wagen
samenlevingsverband , samenwerkingsverband
schil , aarde
siddering , beweging
bioveiligheid , veiligheid
opera , toneelspel
accountantskantoor , instelling
verbranding , brandwond
okshoofd , hoedanigheid
uitbesteden , overbrengen
vergelijken , assimileren
lijnvliegtuig , toestel
bedreigen , handelen
krioelen , vertoeven
plateau , blad
vlakheid , dimensionaliteit
grondstation , zender
ader , geleider
groeistuip , gerucht
geilen , blieven
hinniken , produceren
polysemie , dubbelzinnigheid
spookhuis , trekker
laven , voeden
quizmaster , spelleider
kindermishandeling , mishandeling
Sirius , dubbelster
vertaalbureau , vennootschap
ineengrijpen , aansluiten
bitumen , koolwaterstof
subtopper , beoefenaar
heten , huichelen
huisman , pief
Ischia , enclave
notenbomenhout , hout
verwerken , keren
etens tijd , etenstijd
blijheid , gemoedsbeweging
hoenderhok , kot
ressource , middel
afschaven , bewerken
afleggen , inrichten
splitsen , bewerken
scepticisme , zwijgzaamheid
tsunami , tragedie
Italiaanse , Europeaan
vogelkooi , kooi
eendagsvlieg , eendagsvlieg
balalaika , chordofoon
uittrap , schop
lariks , conifeer
steken , bejegenen
rijm , gelijkheid
bouillon , soep
bindgaren , koord
ingenieur , technicus
hartstocht , drift
organisme , onderdeel
totem , embleem
xenotransplantatie , transplantatie
normaal , peut
niervergiftiging , imperfectie
opvangen , ding
afslag , verdwijning
term , periode
mailen , opsturen
afvloeien , stromen
voorzien , conditioneren
kabelexploitant , manager
basistekst , taal
iepenboom , boom
hartaanval , trombose
godshuis , instelling
theaterbureau , vennootschap
krans , ding
schenken , voorzien
zegel , reductiebon
opperrechter , rechter
onverschilligheid , karaktertrek
ingrijpen , verzorgen
tuinbank , bank
pen , pluimage
leidekker , insect
gereedleggen , zetten
Spanje , land
herstelplan , idee
gelijktrekken , zetten
afschrijving , mindering
amplificeren , veranderen
stek , plek
krokusvakantie , vakantie
palet , plank
verkoper , verkoper
Kosovo , provincie
analyseren , test
anklet , sok
kroning , bevestiging
uitspraak , spreektaal
tocoferol , antioxydans
landje , strook
voortsukkelen , blijven
spatie , teken
plug , stekker
etiologie , wijsbegeerte
Farao , heerser
koperglans , delfstof
bierworstje , salami
dierehuid , bont
patriot , fanaticus
bakoven , apparaat
apostaseren , knijpen
closetrol , wervelwind
badpak , badpak
appelflauwte , bewusteloosheid
stafkaart , plattegrond
eigen vuur , vuur
melk , sap
voorvechter , figuur
deugdelijkheid , conditie
bes , fruit
in acht nemen , overleggen
bloody mary , cocktail
mistasten , beluisteren
kantoorgebouw , constructie
uitklappen , drillen
schijnoplossing , oplossing
opjagen , drijven
hotline , telefoonverbinding
leegstand , leegte
fysionomie , smoel
dienen , arbeiden
paracetamol , palliatief
informatisering , benutting
loonstrookje , vermelding
vergroten , aanleren
gangbaarheid , overredingskracht
garen , ding
middenveld , regio
recidivist , boosdoener
delven , voortbewegen
wattenstaafje , staaf
almanak , naslagwerk
pictogram , prent
eethuis , runderbiefstuk
sorteeralgoritme , algoritme
paladijn , verdediger
McCartney , verzenmaker
catechisatie , pedagogie
bassethoorn , klarinet
gas , toestand waarin stof verkeert
spotten , aantonen
nivelleren , veranderen
sop , schuim
dwarrelen , zakken
wereld , aardse planeet
afmeting , grootte
sjabloon , model
Grieks vuur , mixture
cantate , klassieke muziek
golf , wervelwind
ontsluiting , verwijding
martelen , afzien
abseilen , zakken
alleseter , gedierte
thorax , streek
stilvallen , ophouden
omhaal , bedrijvigheid
hergebruiken , retourneren
folteraar , onderdrukker
frietkraam , tent
voorval , presentie
personeelsbeleid , regering
rododendron , struik
horrorfilm , rolprent
lijfeigenschap , relatie
licht , natuurverschijnsel
eilander , ingezetene
laadbak , ding
aanknopen , reageren
zuiger , huid
volksvertegenwoordiger , afgevaardigde
huiveren , trillen
karbonkel , granaat
wichelaar , toekomstvoorspeller
houtje , ding
schakering , schakering
oorlogsdreiging , onraad
dooreten , blijven
Lugosi , Histrion
kaasfondue , fondue
beat , pop
documenteren , registreren
millimeterpapier , papier
ingaan , beginnen
op de hoogte stellen , voorlichten
landstaal , taal
Mithridates , landsheer
tuinarchitect , figuur
witten , verkleuren
luchtweg , route
insectenbeet , messteek
pressiegroep , belangenorganisatie
inlopen , verplaatsen
mink , bont
goeierd , ingénue
schijf , rondje
protohistorie , archeologie
linnenkamer , kamer
waterskiër , zwemster
veronderstellen , anticiperen
bul , schooldiploma
neoclassicisme , geesteswetenschap
plataan , hout
rijkunst , sport
tofoe , stof
handgeklap , uiting
scribent , schrijfster
juffershondje , joekel
volkswoede , gemoedsbeweging
kamertemperatuur , temp
filmmuziek , muziek
baluster , barrière
onzekerheid , toestand
heup , gedeelte
jachtseizoen , seizoen
buil , extrusie
Litouws , Baltische taal
richten , vragen
tippelen , overspringen
chirurgie , artsenijleer
kaviaar , kuit
piqué , textiel
Seycheller , onderdaan
doortastendheid , slimheid
ligger , steunbalk
memorie , exposé
vervliegen , veranderen
congestie , cumulatie
karren , voortbewegen
ratel , staart
bergkam , contouren
plafonnière , lamp
schadeverzekering , verdrag
reconstrueren , bouwen
zombie , ziel
aardbeweging , schok
toverwoord , woord
uitdrukking , uiterlijk
informatica , wetenschap
sjeik , heerser
zonnecollector , apparaat
schnabbel , engagement
afbijtmiddel , medium
raster , net
smart , zielenpijn
waarheid , toestand
vakidioot , freak
waterblad , kruid
onderstation , station
zangwijs , muziek
ontwikkelaar , bad
bouwfonds , fonds
muiten , rebelleren
shampoo , poetsmiddel
hyperventilatie , respiratie
nasynchroniseren , veranderen
razeil , zeildoek
rutenium , metaal
hulptaal , taal
nakomeling , verwant
afzetten , wegnemen
schimmelen , bewegen
omikron , letter
lanceren , voortbewegen
voorhoede , legerafdeling
executant , uitvoerder
domiciliëring , woongedeelte
ereprijs , buit
usurpator , boosdoener
zakcentje , zakgeld
kreng , lijk
schijf , schijf
dochter , jongeling
tequila , drank
goedheiligman , sint
verschalken , overklassen
omgekeerd , antithese
Vesey , slavin
rustdag , tijdseenheid
cultfilm , rolprent
plasticbom , flop
mierenegel , egel
waarneming , vondst
bal , bediening
rug , kleed
Noorse , Europeaan
schoonhouden , bijhouden
dakraam , venster
verkeersovertreding , vergrijp
boemerangeffect , uitwerking
bezorgen , geven
rijksmiddelen , inkomen
mopperen , aantonen
aster , bloempje
vocalist , zangeres
liesbreuk , herniatie
vitiligo , huidaandoening
uitstel van betaling , supplicatie
vliegeren , spelen
bedreigen , waarschuwen
middelgewicht , worstelaar
stootvogel , roofvogel
tekendoos , doos
verzadigen , voldoen
inschuifladder , ladder
gemalin , tante
kappertjes , specerij
redactievergadering , conventie
opzettelijk verwoesten , verwoesten
minderjarige , jongeling
aanflitsen , aangaan
configuratie , stand
vervullen , inhuren
Democritus , filosoof
Mendel , broeder
klokkenmaker , figuur
velen , toelaten
bruinkool , steenkolen
overhevelen , voortbewegen
hinde , herkauwer
wandeling , reis
capuchon , pet
rebellenleider , aanvoerder
veelhoek , vlak
intercommunie , communie
model , snuifje
labyrintitis , otitis
emulgator , middel
Lyly , schrijfster
bunsenbrander , gasbrander
erkennen , verwerken
beven , vrezen
onderbelichten , belichten
sproet , plek
kidnapper , gijzelhouder
netwerktopologie , constellatie
oprichten , bewegen
handlezen , voorspellen
openhouden , houden
biopsie , onderzoek
bodemprijs , prijs
zeven , zuiveren
wants , wants
synchroniseren , stellen
drugssmokkel , sluikinvoer
omkantelen , veranderen
smartlap , lied
doorbladeren , zoeken
opdoffen , bewerken
roeivereniging , vereniging
keus , mogelijkheid
vercommercialiseren , keren
compromis , vereffenen
ontleding , deling
zonnesteek , heliosis
bemensen , voeden
ra , landje
afreageren , reageren
smakken , uitklinken
doceermethode , optreden
vakantiekleding , goed
woonplaats , verrichting
postdatum , datum
aflopen , uitklinken
kap , bekleding
effector , zenuwvezel
hulplijn , spoorweg
woensdag , weekdag
springbok , bok
appelboom , fruitboom
sociaal beleid , strategie
glas , materie
aankomen , verplaatsen
onderdeel , ding
fonoloog , linguïst
dompelen , brengen
woningwetwoning , honk
uitgangspunt , show Time
A-verpleging , verzorging
Moezel , druivenat
anti-fascist , acoliet
Plejade , stel
laksheid , tegenzin
terugbezorgen , retourneren
demonisering , verwerping
weerkaatsen , retourneren
onderneming , werklast
Drent , ingezetene
viewer , apparaat
bedillen , bejegenen
glasblazen , vormen
nabuurschap , vriendelijkheid
bijbestellen , vragen
tomaat , kruid
geluidskwaliteit , kwaliteit
garnaal , figuur
Middelengels , Engels
VVV-kantoor , instelling
naslaan , zoeken
ramadanfeest , party
zeespiegel , waterstand
onbegrijpelijkheid , onduidelijkheid
aquamarijn , beril
zandzak , zak
huishoudschool , instelling
geowetenschappen , natuurwetenschappen
randverschijnsel , verschijnsel
arbeidsongeschiktheidswet , voorschrift
buitenspel , toestand
toevalstreffer , fortuin
woonvergunning , vergunning
Avogadro , fysicus
kwetteren , kwelen
Trapshooter , schutter
versmallen , keren
A-film , filmkunst
afsluiten , vertikken
punteren , overspringen
destructie , chaos
grondprijs , prijs
stroman , figuur
communicatie , verrichting
druivesap , vruchtesap
leuning , stut
kniebeschermer , stuk
zij , streek
westkust , kantje
gehoorzaal , zaal
consulent , raadsvrouw
hulptroepen , landstrijdkrachten
porfier , oergesteente
ravegekras , taaluiting
bezetten , bezighouden
klopper , klopper
mijngas , gas
fout , statistiek
opstaan , bewegen
toerisme , vermaak
instrumentist , beoefenaar
energiebedrijf , nutsbedrijf
gewricht , verbindingsstuk
grondbeginsel , wetenschap
epistel , brief
overstromen , schuimen
misschieten , voortbewegen
koopman , figuur
hartchirurgie , chirurgie
matriarch , tante
sleutelkind , jongeling
druiper , seksueel overdraagbare aandoening
beeld , het wezen
drinken , drinken
begluren , bezien
uitspugen , kwalsteren
verzadigingspunt , stonde
reageren , uiten
bastion , versterking
frequenteren , verplaatsen
beven , trillen
moratorium , uitstel
vloeien , stromen
continuïteit , coherentie
gunnen , voelen
zottenpraat , nonsens
schooljongen , leerling
onderbreken , onderbreken
regenval , zoetwater
afstralen , voelen
segment , gedeelte
Leigh , actrice
Indiaanse , ingezetene
vennoot , partner
schoenborstel , stoffer
framboos , vrucht
negenenzestig , orale seks
euvel , last
pupil , tussenruimte
sophisme , misconceptie
ingang , tas
vervuilen , keren
bovendrempel , bint
wasmand , sluitmand
peroxide , waterstofverbinding
venkel , specerij
toasten , uiten
zuurtje , traktatie
propageren , aanprijzen
plek , conditie
onderschrift , vertaling
grondwetswijziging , wetswijziging
konvooi , stoet
vertraging , vertragen
doorkomen , passeren
colloquium , congres
terugdenken , gedenken
optrekken , zijn opwachting maken
vertrouwen , attitude
massamoordenaar , moordenaar
passagiersboot , kiel
ader , doorgangsweg
onderverdeling van de zeebodem , biogeografische gebieden
misleggen , zetten
speelman , uitvoerder
spanningsverschil , divergentie
vervoer , ding
toerusten , bereiden
neerslag , taaluiting
sussen , verzwijgen
campagne , operatie
kermisattractie , trekker
rolstoel , wagen
dragee , zuigtablet
slaapbeen , bot
mof , hoes
bollen , vervormen
erelijst , lijst
bovenaanzicht , systeem
OCMW , instelling
administratie , ontwikkeling
wegwerken , sturen
ruiken , waarnemen
Moynihan , opvoeder
moderniseren , hernieuwen
rumoer , leven
verzolen , lappen
jongen , jongeling
ontroering , pijn
peuzelen , vreten
konvooi , trein
trompetten , manipuleren
schietschijf , schijf
chromatide , fibrillen
zindelijkheidstraining , opleiding
kantje , gedeelte
krentenweger , figuur
feuilleton , kroniek
dagdromer , nietsnut
bol , bol
bokaal , mok
neerleggen , neerschieten
enterbijl , strijdbijl
index , getal
prijs , betekenis
organisatiestructuur , opbouw
violet , purper
drop , zoethout
studie , opleiding
Nicolaas , Sint
pijpensteel , pijp
aandurven , vermeten
gebit , prothese
taartje , taart
voyeurisme , neiging
boulevardjournalistiek , publicistiek
baklucht , geurtje
antipsychotische , kalmeringsmiddel
bedenken , zinnen
furie , tante
liefdesbetuiging , herinnering
etiologie , oorzaak
doelman , hockeyer
zak , mantelzak
standvogel , pil
weerhouden , de hersens inspannen
initialiseren , bepalen
diamant , kleur
sproeien , natmaken
verven , bedekken
destillaat , vloeistof
Québec , provinciehoofdstad
triptiek , object
lijzijde , kantje
castraat , zangeres
galerij , kunstgalerij
grafzerk , grafteken
verweerschrift , defensie
wiegendood , slaapapneu
vibrato , geluid
biogeografie , biologie
varkenspest , ziekte
Bridgetown , hoofdstad
plegen , wezen
pachtboer , pachter
tennisspeler , sporter
globaliseren , uitbreiden
ontkurken , uitklappen
inbrengen , bijdragen
humusgrond , aarde
toelachen , aanzien
verpakking , verrichting
weglachen , afwimpelen
oplappen , lappen
bommenwerper , toestel
casework , welzijnszorg
wederhelft , verwant
inwonen , bevolken
gort , havermoutpap
verheffen , fantaseren
kamp , veld
mierenhoop , wierde
interruptie , verstoring
oplage , getal
helpen , veranderen
vaas , pot
lithografie , prent
lijsten , zetten
schrikbewind , regeringsperiode
Salpa , omhuld
verzamelband , overtrek
quatre-mains , muziekgroep
dienstregeling , idee
scheuren , voortbewegen
toerenteller , tachometer
handbal , spel
afdraaien , frapperen
krieltje , organisme
l , taaluiting
bilocatie , plaats
afwas , eetgerei
werkloosheid , toestand
geluidsscherm , blad
gunst , genade
nadarafsluiting , hek
stencilen , verveelvoudigen
mus , zangvogel
vliegen , voorbijgaan
innemen , beïnvloeden
