vergenoegdheid , ongenoegen
dronkenschap , nuchterheid
macrocefalie , microcefalie
spannen , ontspannen
kakelen , zwijgen
laden , ontladen
huwen , splitsen
zwijgen , kouten
laden , lossen
verliezer , geluksvogel
uitgever , schraper
geven , beetpakken
verbreden , versmallen
aankleden , ontkleden
scheiden , huwen
centralisatie , decentralisatie
drukte , otium
vervelen , biologeren
schrijven , inlezen
gierigaard , uitgever
landtong , inham
gedenken , vergeten
sterkte , slapte
blokkeren , deblokkeren
invoering , output
wegdoen , houden
arme , miljonair
ontkalking , calcificatie
schraper , uitgever
afwezigheid , aandachtigheid
nuchterheid , dronkenschap
werkgever , kracht
wippen , benoemen
calcificatie , ontkalking
openen , dichtgaan
pleiten , aanklagen
uitgever , krent
voorgrond , background
schrik hebben van , uitzien
debiteur , crediteur
immigreren , emigreren
miljonair , pauper
macht , onvermogen
krentenkakker , uitgever
uitgever , krentenweger
ikzucht , grootmoedigheid
winner , verliezer
dissimilatie , assimilatie
krijgsman , burger
verliezer , winner
uitgever , krent
schuldgevoel , goed
houden , wegdoen
verkorten , op schaal tekenen
benoemen , wippen
debiteur , schuldeiser
krediet , credit
uitgever , krentenweger
emigreren , immigreren
onduidelijkheid , klaarheid
veiligheid , onraad
achteruitgang , vorderingen
slagen , stukgaan
afvallen , meevallen
toename , mindering
vertragen , versnellen
vervelen , entertainen
op schaal tekenen , verkorten
uitstaan , terugspringen
verpachten , huren
uitlijnen , scheeftrekken
zwijgen , snateren
inham , nes
kleppen , zwijgen
verliezen , gelijkspel
zinnen , tegensteken
snappen , zwijgen
euvel , fortuin
blijven , beginnen
aantrekken , uitkleden
geluksvogel , verliezer
vernauwing , verwijding
schraper , uitgever
importeur , exporteur
weken , harden
bevruchten , aborteren
ongenoegen , vergenoegdheid
vorderingen , achteruitgang
uitgever , knibbelaar
reactie , verrichting
wegnemen , politiseren
tateren , zwijgen
zwijgen , ratelen
ophouden , beginnen
lopen , overlijden
gebruiksgoederen , consumptiegoederen
houden , veranderen
snateren , zwijgen
uitstappen , ingaan
verwarmen , bekoelen
exporteur , importeur
pief , tante
zwijgen , kwekken
schuldeiser , debiteur
afwezigheid , presentie
miljonair , armoedzaaier
aftuigen , optuigen
droogleggen , natmaken
klaarheid , onduidelijkheid
ontdooien , vriezen
betwisten , pleiten
parterre , bovenhuis
ingaan , inkomen
overwinnen , gelijkspel
woestheid , slapte
atonaliteit , tonaliteit
otium , drukte
stukgaan , slagen
depreciatie , hoogachting
pachten , verpachten
uitkijken , schrik hebben van
verwarmen , bekoelen
blijven , voorbijgaan
krent , uitgever
verwijding , vernauwing
uitkleden , aankleden
aankleden , uitkleden
zwijgen , snappen
opstappen , uitstappen
aanslaan , overlijden
verheugen , schrik hebben van
nietigheid , overredingskracht
zonsopgang , zonsondergang
versnellen , vertragen
debiteur , beer
zwijgen , rellen
opklaren , bewolken
gelijkspel , overwinnen
hypnolepsie , slaapstoornis
vaardigheid , onvermogen
verstek , presentie
spreken , zwijgen
afbinden , verbinden
hoedanigheid , ontwikkeling
inertie , bezigheid
adviseren , mededelen
parterre , bovenwoning
missen , slaan
binnenland , district
verrichting , reactie
mislopen , slagen
zee , land
huren , verpachten
ongenoegen , vergenoegdheid
uitklappen , dichtklappen
dichtdoen , ontsluiten
verliezen , ontdekken
bedekken , afdekken
ontspannen , spannen
overlijden , aanslaan
inham , landtong
versmallen , verbreden
grootmoedigheid , ikzucht
afkondigen , aandienen
gebondenheid , mondigheid
afleggen , slagen
microcefalie , macrocefalie
kwekken , zwijgen
zwijgen , kakelen
trekken , douwen
ongenoegen , vergenoegdheid
vriezen , ontdooien
zwijgen , tateren
onbezorgdheid , zorg
achterlopen , voorgaan
onwaarschijnlijkheid , waarschijnlijkheid
bezigheid , inertie
vergeten , gedenken
nes , inham
weken , harden
climax , laagtepunt
beginnen , blijven
slapte , sterkte
minderen , opzetten
land , zee
pogen , opgeven
omkeerbaarheid , onomkeerbaarheid
gelukkige , verliezer
fortuin , euvel
verliezer , gelukkige
slapte , woestheid
blokkeren , deblokkeren
versperren , deblokkeren
crediteur , debiteur
uitgever , vrek
leven , dood
versnellen , vertragen
het wezen , iets
kletsen , zwijgen
enkelspel , dubbelspel
pauper , miljonair
maken , beter
slapte , intensiteit
ongelovigheid , geloof
laagtepunt , climax
uitgever , krentenkakker
arbeidsproduktiviteit , improduktiviteit
verpachten , pachten
douwen , trekken
optuigen , aftuigen
maximaliseren , minimaliseren
vastigheid , onzekerheid
enclave , vasteland
afwijzen , aanvaarden
uitgever , knibbelaar
invoer , uitvoer
uitvoer , invoer
burger , krijgsman
klimmen , zakken
vertrouwen , achterdocht
eindigen , blijven
antwoord , vraag
ongenoegen , vergenoegdheid
knokken , overgeven
terugspringen , uitstaan
deblokkeren , blokkeren
bovenwoning , parterre
aandienen , afkondigen
ondergang , beklimming
afwijzen , accepteren
geduld , ongeduld
assimilatie , dissimilatie
vergenoegdheid , ongenoegen
impopulariteit , populariteit
doorlopen , ophouden
werkgever , loontrekker
kwijtraken , ontdekken
opzetten , minderen
entertainen , vervelen
mondigheid , gebondenheid
tante , pief
keuvelen , zwijgen
minderen , amplificeren
emigreren , immigreren
begeerte , landerigheid
schroeflijn , curve
schrik hebben van , verheugen
vriendinnetje , vreemde
minimaliseren , maximaliseren
vermageren , aankomen
decentralisatie , centralisatie
ontdekken , verliezen
afblijven , raken
ontdekken , kwijtraken
zwijgen , babbelen
lappen , havenen
irriteren , zinnen
doorlopen , beginnen
rellen , zwijgen
geldwolf , uitgever
aankomen , vermageren
bekoelen , verwarmen
toegeven , kanten
begrijpen , ontgaan
parlevinken , zwijgen
beter , maken
immigreren , emigreren
armoedzaaier , miljonair
hardware , software
meedelen , zwijgen
knibbelaar , uitgever
zonsondergang , zonsopgang
slagen , afleggen
zwijgen , spreken
betekenen , afkondigen
presentie , verstek
hechten , loslaten
beklimming , ondergang
uitkleden , aantrekken
consumptiegoederen , gebruiksgoederen
scheeftrekken , uitlijnen
loontrekker , werkgever
verhinderen , laten
goed , schuldgevoel
onraad , veiligheid
dood , leven
gelijkspel , verliezen
lethargie , slaapstoornis
krent , uitgever
deblokkeren , versperren
originaliteit , dubbelhartigheid
gierigaard , uitgever
ontwikkeling , hoedanigheid
miljonair , arme
pleiten , vervolgen
lossen , laden
vergeten , oppikken
bevolken , ontvolken
schoonheid , lelijkheid
ondergoed , overkleed
verbinden , afbinden
ophouden , doorlopen
zwijgen , keuvelen
vrek , uitgever
geloof , ongelovigheid
onvermogen , vaardigheid
doven , aansteken
insolvabiliteit , vaardigheid
veranderen , houden
splitsen , huwen
mogelijkheid , onmogelijkheid
inkomen , ingaan
geldwolf , uitgever
beginnen , doorlopen
dalen , stijgen
mazzelaar , verliezer
toepassen , neerleggen
bovenhuis , parterre
onomkeerbaarheid , omkeerbaarheid
vergenoegdheid , ongenoegen
uitgever , gierigaard
pleiten , betwisten
uitgever , vrek
harden , weken
overredingskracht , nietigheid
bewusteloosheid , bewustzijn
onzekerheid , vastigheid
geloven , wantrouwen
biologeren , vervelen
ingaan , binnenkomen
bewegen , hechten
politiseren , wegnemen
oppikken , vergeten
uitgever , krentenkakker
rampspoed , fortuin
macht , insolvabiliteit
uitzien , schrik hebben van
opgeven , pogen
zwijgen , klessebessen
uitgever , gierigaard
krediet , tegoed
onmogelijkheid , mogelijkheid
huwen , scheiden
ontvolken , bevolken
vertoeven , mankeren
overgeven , knokken
wantrouwen , geloven
binnenkomen , ingaan
hechten , bewegen
inlezen , schrijven
vertragen , versnellen
zakken , stijgen
vrek , uitgever
uitgever , schraper
mindering , toename
natmaken , droogleggen
ratelen , zwijgen
blijven , eindigen
ontkleden , aankleden
ontladen , laden
software , hardware
teruggeven , terugontvangen
verliezer , bofkont
achterdocht , vertrouwen
ontvouwen , dichtvouwen
iets , het wezen
accepteren , afwijzen
zwijgen , kleppen
beetpakken , geven
