ontvangst , begroeting
aanspraak , claim
koningszoon , prins
beroeren , bang
maken , voortbrengen
waar , goederen
prins , koningszoon
verrijden , uitrijden
uitwerking , uitkomst
tenderen , plegen
uitdokteren , sorteren
begroeting , ontvangst
inrichting , gekkenhuis
smullen , tafelen
onderwijsinstelling , school
goedheid , spul
goedheid , waar
terugtreden , neerleggen
standaard , criterium
rekening houden , toepassen
spul , goedheid
instrument , apparaat
ophouden , eindigen
gast , genodigde
doorkijken , doorbladeren
verstoren , onderbreken
tafelen , smikkelen
vuur , schot
verteren , verteren
antiquiteit , antiek
wekken , geven
geven , geven
rollen , rollen
geleding , portie
goed , spul
omtoveren , beheksen
opkomst , show Time
kopie , reproductie
verontreiniging , afvalstof
platform , kansel
pakje , vrachtstuk
monocle , fok
vuil , verontreiniging
geven , schenken
invliegen , vliegen
portie , geleding
overspringen , voortbewegen
apparaat , instrument
gebruiksvoorwerp , consumptiegoederen
claim , recht
invliegen , voorzien
voorhoede , voorhoede
resultaat , uitwerking
sorteren , vorsen
lokkertje , eyecatcher
instrument , apparaat
schrik , angst
koord , garen
mogelijkheid , vaardigheid
onderbreken , onderbreken
uitzoeken , sorteren
kansel , platform
voorhoede , voorhoede
apparaat , instrument
hoogte , hoogte
steken , steken
kooi , kot
bewijsstuk , papier
pijn , schade
waarmaken , voldoen
bedreiging , bedreiging
makker , partner
onweer , onweersbui
laten , laten
Venus , Cytherea
anticonceptiepil , zuigtablet
kunst , kunstvorm
voldoen , verhoren
procedure , bediening
kopen , verkopen
gekkenhuis , inrichting
zuigtablet , anticonceptiepil
exercitie , oefening
regeling , ordonnantie
speculatie , speculatie
sneeuw , sneeuwbui
spaanplaat , plank
geschieden , beleven
stut , steunbalk
gereedschap , instrument
kiel , schip
smikkelen , vreten
wekken , doen
afstompen , afstompen
verstajem , bewustzijn
bang , beroeren
spul , goederen
straf , penitentie
smullen , vreten
toepassen , rekening houden
uitkomst , uitwerking
neervallen , omvallen
oefening , exercitie
deputatie , missie
bepalen , constateren
schok , vibratie
kieperen , neervallen
steunbalk , stut
brandwond , verbranding
Cytherea , Venus
ordonnantie , regeling
groeien , groeien
uiten , aantonen
onderbreken , verstoren
schade , pijn
mandator , verbruiker
smikkelen , tafelen
sorteren , uitzoeken
hoedanigheid , toestand
wekken , bezorgen
verbinding , compositie
zij , kantje
uitkijken , verblijden
papier , bewijsstuk
uitvogelen , sorteren
borduren , naaien
verblijden , uitkijken
uitpakken , leiden
lijnrechter , scheids
omkieperen , neervallen
regeling , bewerking
vreten , smikkelen
baan , baan
bedreiging , bedreiging
verheugen , verblijden
neervallen , omkieperen
vragen , vragen
